rank,trip_id,label,borough,zipcode,civ_min,emv_min,emv_no_row_min,saved_vs_civ_min,pct_vs_civ,row_attrib_min,emv_only_edges,start_lat,start_lon,dest_lat,dest_lon,hour,weather
1,79704652,QUEENS → ZIP 11414.0,QUEENS,11414.0,6.72,4.62,6.61,2.1,31.24,1.99,5,40.67227919,-73.85283804,40.65959399780355,-73.84999835643863,17,rain
2,79719837,QUEENS → ZIP 11365.0,QUEENS,11365.0,4.35,2.53,4.35,1.82,41.91,1.82,15,40.74132873,-73.82145389,40.7395517751568,-73.79219404791488,17,rain
3,79701152,MANHATTAN → ZIP 10035.0,MANHATTAN,10035.0,10.34,8.54,10.34,1.8,17.36,1.8,13,40.77546819,-73.93026438,40.80176638956237,-73.93752780228272,17,rain
4,79701125,BROOKLYN → ZIP 11222.0,BROOKLYN,11222.0,5.91,3.89,4.93,2.02,34.15,1.04,16,40.714154,-73.957052,40.728491330759866,-73.94780900902853,17,rain
5,79705567,BROOKLYN → ZIP 11232.0,BROOKLYN,11232.0,2.19,1.68,2.01,0.51,23.44,0.34,12,40.64870738,-74.01024814,40.65719107451709,-74.00628599086636,17,rain
6,79716360,QUEENS → ZIP 11104.0,QUEENS,11104.0,9.46,8.33,9.32,1.13,11.98,0.99,23,40.764729053,-73.9539201238,40.7436598194127,-73.9205119246819,17,rain
7,79727024,QUEENS → ZIP 11364.0,QUEENS,11364.0,5.99,5.06,5.99,0.93,15.55,0.93,1,40.72680968,-73.75003446,40.746215406541396,-73.76159931286122,17,rain
8,79706641,QUEENS → ZIP 11357.0,QUEENS,11357.0,6.41,5.14,5.81,1.27,19.78,0.67,4,40.7716338,-73.8246726,40.78718249295348,-73.81144659695411,17,rain
