incident_id,incident_datetime,borough,dispatch_area,zipcode,travel_seconds,response_seconds,start_lat,start_lon,dest_lat,dest_lon,depot_id,depot_name,depot_layer,start_source,start_mode,crow_flies_km,prefer_borough,initial_call_type,final_call_type,alarm_box_borough,alarm_box_number,alarm_box_location,dispatch_wait_seconds,valid_incident_rspns_time_indc,engines_assigned_quantity,ladders_assigned_quantity,other_units_assigned_quantity,highest_alarm_level,borough_norm,dispatch_borough,modzcta
260630-M1683-004-1377,2026-06-30T21:11:25.000,MANHATTAN,1683,10032,418.0,457.0,40.83790887,-73.93834307,40.83976482326059,-73.94173123284911,558,CSL AMSTERDAM AVE & W 165 ST,csl,nearest_synthetic_csl_in_manhattan,hybrid_csl,0.3518959920523762,MANHATTAN,Utility Emergency - Water,NonMedical Emergencies,MANHATTAN,1683,RIVERSIDE DR & W 160 ST,39,Y,1.0,0.0,0.0,First Alarm,MANHATTAN,,10032
260630-X2725-001-0980,2026-06-30T21:11:15.000,BRONX,2725,10456,679.0,716.0,40.82971,-73.908118,40.82898240818156,-73.90949161407787,51,Battalion 26/Engine 50/Ladder 19,fdny_firehouse,nearest_firehouse_in_bronx,hybrid_static,0.14107553388165955,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,BRONX,2725,SHERIDAN AVE & MARCY PL,36,Y,1.0,0.0,0.0,First Alarm,BRONX,,10456
260630-M1143-003-1374,2026-06-30T21:10:55.000,MANHATTAN,1143,10028,311.0,348.0,40.778622,-73.955311,40.77595833166471,-73.95249122141689,26,Battalion 10/Engine 22/Ladder 13,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.3796062931334614,MANHATTAN,Utility Emergency - Gas,NonMedical Emergencies,MANHATTAN,1143,2 AVE & E 83 ST,37,Y,1.0,1.0,1.0,First Alarm,MANHATTAN,,10028
260630-B3366-001-0917,2026-06-30T21:08:07.000,BROOKLYN,3366,11223,344.0,350.0,40.59095287,-73.96651951,40.596569205923075,-73.9725315057552,560,CSL AVENUE X & E 4 ST,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,0.8047926846886092,BROOKLYN,Medical - Breathing / Ill or Sick,Medical Emergencies,BROOKLYN,3366,AVENUE R & OCEAN PWAY,5,Y,1.0,0.0,0.0,First Alarm,BROOKLYN,,11223
260630-B3652-002-0918,2026-06-30T21:07:26.000,BROOKLYN,3652,11235,196.0,250.0,40.58719508,-73.95325196,40.58434612826166,-73.94889917083387,421,CSL SHEEPSHEAD BAY RD & E 16 ST,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,0.4852465140259243,BROOKLYN,Alarm System - Unnecessary,NonMedical Emergencies,BROOKLYN,3652,OCEANVIEW AVE & BRIGHTON 6 ST,53,Y,1.0,1.0,1.0,First Alarm,BROOKLYN,,11235
260630-R0460-001-0204,2026-06-30T21:06:55.000,RICHMOND / STATEN ISLAND,460,10304,309.0,341.0,40.60732,-74.089242,40.60780803745915,-74.08841900067937,211,Division 8/Engine 160/Rescue 5,fdny_firehouse,nearest_firehouse_in_staten_island,hybrid_static,0.0881577979411605,STATEN ISLAND,Elevator Emergency - Occupied,NonMedical Emergencies,RICHMOND / STATEN ISLAND,460,PARKHILL AVE & SOBEL COURT,31,Y,0.0,1.0,0.0,First Alarm,STATEN ISLAND,,10304
260630-B0041-001-0914,2026-06-30T21:05:47.000,BROOKLYN,41,11222,220.0,253.0,40.730747,-73.951144,40.728491330759866,-73.94780900902853,107,Engine 238/Ladder 106,fdny_firehouse,nearest_firehouse_in_brooklyn,hybrid_static,0.37667056221361656,BROOKLYN,Demolition Debris or Rubbish Fire,NonStructural Fires,BROOKLYN,41,LORIMER ST & NOBLE ST,32,Y,1.0,0.0,0.0,First Alarm,BROOKLYN,,11222
260630-M1401-001-1366,2026-06-30T21:05:23.000,MANHATTAN,1401,10035,174.0,215.0,40.803297,-73.936522,40.80176638956237,-73.93752780228272,30,Battalion 12/Engine 35/Ladder 14,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.1900891758011482,MANHATTAN,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,MANHATTAN,1401,2 AVE & E 117 ST,41,Y,3.0,2.0,1.0,First Alarm,MANHATTAN,,10035
260630-B1623-001-0910,2026-06-30T21:04:45.000,BROOKLYN,1623,11233,161.0,192.0,40.67664704,-73.91646486,40.67685453203215,-73.91686753819093,285,CSL SARATOGA AVE & ATLANTIC AVE,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,0.04105433790194196,BROOKLYN,Odor - Other Than Smoke,NonMedical Emergencies,BROOKLYN,1623,RALPH AVE & ST JOHNS PL,31,Y,1.0,1.0,1.0,First Alarm,BROOKLYN,,11233
260630-B3942-001-0911,2026-06-30T21:04:24.000,BROOKLYN,3942,11238,231.0,287.0,40.673473,-73.961641,40.676599419919825,-73.9639299865633,93,Engine 280/Ladder 132,fdny_firehouse,nearest_firehouse_in_brooklyn,hybrid_static,0.39764012329680276,BROOKLYN,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,BROOKLYN,3942,GRAND AVE & PACIFIC ST,55,Y,1.0,1.0,0.0,First Alarm,BROOKLYN,,11238
