facilityname,facilityaddress,borough,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta
Engine 67,518 West 170 Street,Manhattan,10032,40.841279,-73.937195,112,10,253,1085743,1021260035,Washington Heights South
Marine 1,20 Rear Bloomfield Street,Manhattan,10014,40.740647,-74.011815,102,3,79,1086681,1006510105,West Village
Battalion 14/Engine 60/Ladder 17,341 East 143 Street,Bronx,10454,40.813163,-73.922146,201,8,41,2000656,2023060052,Mott Haven-Port Morris
Squad 41,330 East 150th Street,Bronx,10451,40.817323,-73.92013,201,17,65,2000930,2023310033,Melrose South-Mott Haven North
Division 6/Engine 71/Ladder 55,720 Melrose Ave.,Bronx,10455,40.820292,-73.915555,201,17,69,2001400,2023770001,Melrose South-Mott Haven North
Battalion 26/Engine 50/Ladder 19,1155 Washington Ave.,Bronx,10456,40.82971,-73.908118,203,16,185,2001584,2023880045,Morrisania-Melrose
Engine 68/Ladder 49,1160 Ogden Ave.,Bronx,10452,40.836659,-73.926919,204,16,199,2003268,2025140056,Highbridge
Engine 83/Ladder 29,618 East 138 Street,Bronx,10454,40.805819,-73.915834,201,8,2701,2003609,2025500028,Mott Haven-Port Morris
Battalion 3/Engine 94/Ladder 48,1226 Seneca Ave.,Bronx,10474,40.818581,-73.887778,202,17,11502,2006440,2027620054,Hunts Point
Engine 42,1781 Monroe Ave.,Bronx,10457,40.846325,-73.906812,205,15,22901,2007448,2027970035,Mount Hope
Engine 43/Ladder 59,1901 Sedgwick Ave.,Bronx,10453,40.854655,-73.917286,205,16,247,2009252,2028810140,University Heights-Morris Heights
Engine 46/Ladder 27,460 Cross Bronx Expressway,Bronx,10457,40.843919,-73.90016,206,15,165,2009509,2029070010,Claremont-Bathgate
Bronx Borough Command,453 E 176 Street,Bronx,10457,40.846372,-73.899241,206,15,395,2009541,2029090040,Claremont-Bathgate
Engine 82/Ladder 31,1215 Intervale Ave.,Bronx,10459,40.828532,-73.895259,203,17,125,2010447,2029730038,Morrisania-Melrose
Division 7/Engine 48/Ladder 56,2417 Webster Ave.,Bronx,10458,40.859318,-73.893992,205,15,39902,2011061,2030250025,Bedford Park-Fordham North
Battalion 18/Engine 45/Ladder 58,925 East Tremont Ave.,Bronx,10460,40.841877,-73.883508,206,17,363,2013192,2031260012,East Tremont
Battalion 27/Engine 79/Ladder 37,2928 Briggs Ave.,Bronx,10458,40.870279,-73.886581,207,11,40702,2016936,2032970009,Bedford Park-Fordham North
Engine 96/Ladder 54,1689 Story Ave.,Bronx,10473,40.822986,-73.869357,209,18,46,2022629,2036600001,Soundview-Castle Hill-Clason Point-Harding Park
Engine 90/Ladder 41,1843 White Plains Rd.,Bronx,10462,40.846365,-73.8668,211,15,236,2043470,2040490049,Van Nest-Morris Park-Westchester Square
Battalion 20/Squad 61,1518 Williamsbridge Road,Bronx,10461,40.845048,-73.846393,211,13,200,2044205,2040820011,Van Nest-Morris Park-Westchester Square
Engine 97,1454 Astor Ave.,Bronx,10469,40.859347,-73.844162,211,13,314,2050740,2043890023,Allerton-Pelham Gardens
Engine 62/Ladder 32,3431 White Plains Road,Bronx,10467,40.876269,-73.867362,212,12,374,2056968,2046280053,Williamsbridge-Olinville
Engine 38/Ladder 51,3446 Eastchester Road,Bronx,10469,40.877984,-73.846513,212,12,386,2060238,2047230045,Eastchester-Edenwald-Baychester
Battalion 15/Engine 63/Ladder 39,755 East 233 Street,Bronx,10466,40.893028,-73.85531,212,12,434,2068155,2049970013,Woodlawn-Wakefield
Engine 66/Ladder 61,21 Asch Loop,Bronx,10475,40.869725,-73.831197,210,12,46201,2072355,2051410103,Co-op City
Engine 89/Ladder 50,2924 Bruckner Blvd.,Bronx,10465,40.833339,-73.827088,210,13,164,2076433,2054190125,Schuylerville-Throgs Neck-Edgewater Park
Engine 72,3929 East Tremont Ave.,Bronx,10465,40.821311,-73.818248,210,13,130,2077258,2054430170,Schuylerville-Throgs Neck-Edgewater Park
Engine 70/Ladder 53,169 Schofield Street,Bronx,10464,40.845574,-73.784695,210,13,516,2082474,2056420118,Pelham Bay-Country Club-City Island
Engine 52/Ladder 52,4550 Henry Hudson Parkway E.,Bronx,10471,40.892118,-73.907656,208,11,335,2084327,2058130123,North Riverdale-Fieldston-Riverdale
Engine 88/Ladder 38,2225 Belmont Ave.,Bronx,10457,40.851907,-73.887837,206,15,391,2086781,2030860038,Belmont
Engine 81/Ladder 46,3025 Bailey Ave.,Bronx,10463,40.876945,-73.903669,208,14,277,2086837,2032660068,Van Cortlandt Village
Engine 73/Ladder 42,655 Prospect Ave.,Bronx,10455,40.815274,-73.903785,201,17,79,2094318,2026750033,Melrose South-Mott Haven North
Engine 64/Ladder 47,1214 Castle Hill Ave.,Bronx,10462,40.832437,-73.850876,209,18,92,2094870,2038210007,Westchester-Unionport
Battalion 17/Engine 92/Ladder 44,1259 Morris Ave.,Bronx,10456,40.834679,-73.913625,204,16,17901,2096490,2024500040,East Concourse-Concourse Village
Rescue 3,1655 Washington Ave,Bronx,10457,40.841225,-73.901507,203,16,167,2117925,2029050030,Claremont-Bathgate
Battalion 19/Engine 75/Ladder 33,2175 Walton Ave.,Bronx,10453,40.856228,-73.904423,205,14,239,2118039,2031860037,Fordham South
Brooklyn Borough Command/Division 11/Battalion 31/Engine 207/Ladder 110,172 Tillary Street,Brooklyn,11201,40.69545,-73.982843,302,35,15,3000252,3001340006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Engine 226,409 State Street,Brooklyn,11217,40.68707,-73.982768,302,33,41,3000562,3001720048,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Engine 205/Ladder 118,74 Middagh Street,Brooklyn,11201,40.700029,-73.992273,302,33,1,3001600,3002160022,Brooklyn Heights-Cobble Hill
Engine 224,274 Hicks Street,Brooklyn,11201,40.693072,-73.99708,302,33,7,3002336,3002600036,Brooklyn Heights-Cobble Hill
Engine 279/Ladder 131,252 Lorraine St.,Brooklyn,11231,40.672118,-73.999666,306,38,53,3008207,3004860018,Carroll Gardens-Columbia Street-Red Hook
Battalion 32/Engine 202/Ladder 101,31 Richards Street,Brooklyn,11231,40.680386,-74.006438,306,38,59,3008254,3005120022,Carroll Gardens-Columbia Street-Red Hook
Engine 228,436 39th St,Brooklyn,11232,40.651814,-74.005327,307,38,84,3010534,3007090019,Sunset Park West
Squad 1,788 Union Street,Brooklyn,11215,40.674649,-73.97667,306,39,157,3020193,3009570023,Park Slope-Gowanus
Engine 239,395 4th Ave.,Brooklyn,11215,40.671782,-73.987239,306,39,137,3021578,3009930005,Park Slope-Gowanus
Engine 220/Ladder 122,530 11th Street,Brooklyn,11215,40.66495,-73.981452,306,39,151,3026278,3010960025,Park Slope-Gowanus
Engine 219/Ladder 105,494 Dean Street,Brooklyn,11217,40.681192,-73.973851,308,35,161,3027813,3011360011,Prospect Heights
Engine 280/Ladder 132,489 Saint John's Place,Brooklyn,11238,40.673473,-73.961641,308,35,215,3029451,3011740051,Prospect Heights
Battalion 38/Engine 234/Ladder 123,1352 Saint John's Place,Brooklyn,11213,40.670443,-73.933495,308,35,351,3037055,3013840008,Crown Heights North
Engine 227,423 Ralph Ave.,Brooklyn,11233,40.674781,-73.921728,316,41,303,3038838,3014450002,Ocean Hill
Engine 233/Ladder 176,25 Rockaway Ave.,Brooklyn,11233,40.682712,-73.911396,316,37,369,3040990,3015120001,Ocean Hill
Engine 217,940 Dekalb Avenue,Brooklyn,11221,40.692759,-73.937993,303,36,281,3043215,3016010023,Stuyvesant Heights
Battalion 37/Engine 222,32 Ralph Ave.,Brooklyn,11221,40.689591,-73.924433,303,41,387,3044596,3016330039,Stuyvesant Heights
Engine 214/Ladder 111,495 Hancock Street,Brooklyn,11233,40.68441,-73.935771,303,36,275,3045695,3016540045,Stuyvesant Heights
