,street_width_ft,travel_lanes,park_lanes,oneway_share,bus_lane_share,bike_lane_share,arterial_share,expressway_share,posted_speed_mph,signals_per_km,turns_per_km,block_length_m,bridge_tunnel_share,circuity,log_crow_km,log_travel_s
street_width_ft,1.0,0.6382788707356253,0.26475741203569125,-0.3608971694244994,0.26815120411169063,0.19800718718307023,0.36913573580758224,-0.21300517458386883,-0.1906815485711907,0.3651698527955657,-0.014964714091134416,-0.14064458163740595,-0.1346745442606706,-0.15618456721594232,-0.07360477536553402,-0.11035541207532276
travel_lanes,0.6382788707356253,1.0,-0.26347931220916776,-0.1925429873707815,0.3781966879255228,0.01157594077613243,0.4258622148795788,0.22140916907254465,0.14877474694850432,0.13393402201370647,-0.11763903473722048,0.037855974646370395,0.26564955966173587,0.029178514614425995,0.12670095937583986,0.01689367449861796
park_lanes,0.26475741203569125,-0.26347931220916776,1.0,-0.4038142539207662,-0.06227235233501785,-0.03445276426295755,-0.24929549525656464,-0.528286936234145,-0.47452473908109527,0.1400922912684651,0.1954866396254231,-0.15410276356630442,-0.5542653494511165,-0.24179495461596262,-0.47224192058721687,-0.18135232253720665
oneway_share,-0.3608971694244994,-0.1925429873707815,-0.4038142539207662,1.0,0.11383129202896249,0.2642845007058532,0.10622193219965304,0.2808994658671995,0.23296049531528362,0.05485789908723253,0.08998340780785834,0.24489253854094722,0.1233176033470855,0.2346924716779184,0.08856374443382864,0.007304842958921871
bus_lane_share,0.26815120411169063,0.3781966879255228,-0.06227235233501785,0.11383129202896249,1.0,0.26418787261889853,0.22105354898374702,0.013124692033494218,0.06303862280453887,0.26177847841550106,0.03958872086137018,0.09105835817030215,0.12319537117884335,0.1680711617658849,0.06948178963853173,0.12113931017346868
bike_lane_share,0.19800718718307023,0.01157594077613243,-0.03445276426295755,0.2642845007058532,0.26418787261889853,1.0,0.09448504483113845,-0.07936399631515244,-0.07164277084364948,0.20770205313257217,0.059727802804780405,-0.021884328850346548,0.025658433200995975,0.2016909857950463,0.08118660141798692,-0.06478913743096383
arterial_share,0.36913573580758224,0.4258622148795788,-0.24929549525656464,0.10622193219965304,0.22105354898374702,0.09448504483113845,1.0,-0.14268280113699658,0.05178137888427727,0.3797233962909373,-0.1115307488239716,-0.15690642431838894,0.03968054129879753,-0.08194017221776417,0.04225215639978636,-0.04786557209501643
expressway_share,-0.21300517458386883,0.22140916907254465,-0.528286936234145,0.2808994658671995,0.013124692033494218,-0.07936399631515244,-0.14268280113699658,1.0,0.5228501563464043,-0.3132556967166401,-0.30940857505685143,0.45495209718152363,0.5843603474245334,0.2797698669067543,0.4285834154060435,0.16441845704138816
posted_speed_mph,-0.1906815485711907,0.14877474694850432,-0.47452473908109527,0.23296049531528362,0.06303862280453887,-0.07164277084364948,0.05178137888427727,0.5228501563464043,1.0,-0.2505051441377765,-0.3353794215735674,0.28754071699448674,0.42119650887501836,0.08085718487992317,0.4664777356485,-0.03440390664972808
signals_per_km,0.3651698527955657,0.13393402201370647,0.1400922912684651,0.05485789908723253,0.26177847841550106,0.20770205313257217,0.3797233962909373,-0.3132556967166401,-0.2505051441377765,1.0,0.1724444562883944,-0.35896260347337394,-0.2982794243895509,-0.1538083302789018,-0.08677163497597117,0.03959603725344558
turns_per_km,-0.014964714091134416,-0.11763903473722048,0.1954866396254231,0.08998340780785834,0.03958872086137018,0.059727802804780405,-0.1115307488239716,-0.30940857505685143,-0.3353794215735674,0.1724444562883944,1.0,-0.2489881868398501,-0.3584138075445129,0.2777971676389936,-0.5108797736869198,0.08348622541852768
block_length_m,-0.14064458163740595,0.037855974646370395,-0.15410276356630442,0.24489253854094722,0.09105835817030215,-0.021884328850346548,-0.15690642431838894,0.45495209718152363,0.28754071699448674,-0.35896260347337394,-0.2489881868398501,1.0,0.3704574629822203,0.2629153692653254,0.24844745645069555,-0.033980231548384476
bridge_tunnel_share,-0.1346745442606706,0.26564955966173587,-0.5542653494511165,0.1233176033470855,0.12319537117884335,0.025658433200995975,0.03968054129879753,0.5843603474245334,0.42119650887501836,-0.2982794243895509,-0.3584138075445129,0.3704574629822203,1.0,0.33222896048965245,0.5412477545584723,0.11226631163503431
circuity,-0.15618456721594232,0.029178514614425995,-0.24179495461596262,0.2346924716779184,0.1680711617658849,0.2016909857950463,-0.08194017221776417,0.2797698669067543,0.08085718487992317,-0.1538083302789018,0.2777971676389936,0.2629153692653254,0.33222896048965245,1.0,-0.0547771683070961,0.08785617402208554
log_crow_km,-0.07360477536553402,0.12670095937583986,-0.47224192058721687,0.08856374443382864,0.06948178963853173,0.08118660141798692,0.04225215639978636,0.4285834154060435,0.4664777356485,-0.08677163497597117,-0.5108797736869198,0.24844745645069555,0.5412477545584723,-0.0547771683070961,1.0,0.11369418372362323
log_travel_s,-0.11035541207532276,0.01689367449861796,-0.18135232253720665,0.007304842958921871,0.12113931017346868,-0.06478913743096383,-0.04786557209501643,0.16441845704138816,-0.03440390664972808,0.03959603725344558,0.08348622541852768,-0.033980231548384476,0.11226631163503431,0.08785617402208554,0.11369418372362323,1.0
