feature,mean,sd
street_width_ft,39.70003052726446,8.257071313585376
travel_lanes,2.193789544949923,0.6501371442921402
park_lanes,1.4874687059438778,0.5649041672584801
oneway_share,0.4742614661176678,0.3529082300913468
bus_lane_share,0.054234252758752106,0.1442399343231631
bike_lane_share,0.16594314328487306,0.25234382688291335
arterial_share,0.39224767511827513,0.33412480538603423
expressway_share,0.06969202168732713,0.19609082208059245
posted_speed_mph,26.647462487768372,3.9888907807252774
signals_per_km,4.142986784811152,2.8346751608656264
turns_per_km,2.292552756595608,1.4811651849664955
block_length_m,116.7421086301821,49.010504437662206
bridge_tunnel_share,0.07272876642573929,0.16683408560317925
circuity,1.5497726174710662,0.46789656373321054
