cell_id,n_incidents,weight,lat,lon,share,cell_km,cell_dlat,cell_dlon,nearest_post_id,response_s,within_threshold,response_from_graph
0,416,416.0,40.82898240818156,-73.90949161407787,0.017461383478844864,0.75,0.00678278799717836,0.008891897936964871,21,198.9,1,1
1,385,385.0,40.67164768647864,-73.8931034629108,0.016160174613834788,0.75,0.00678278799717836,0.008891897936964871,8,0.0,1,1
2,385,385.0,40.84697506197675,-73.89769511018748,0.016160174613834788,0.75,0.00678278799717836,0.008891897936964871,7,126.3,1,1
3,381,381.0,40.85260992626471,-73.91321825605405,0.015992276695768973,0.75,0.00678278799717836,0.008891897936964871,14,270.1,1,1
4,373,373.0,40.80176638956237,-73.93752780228272,0.01565648085963734,0.75,0.00678278799717836,0.008891897936964871,23,104.9,1,1
5,359,359.0,40.667473412219195,-73.8700260616479,0.015068838146406985,0.75,0.00678278799717836,0.008891897936964871,22,0.0,1,1
6,357,357.0,40.66460220724024,-73.9145581386799,0.014984889187374076,0.75,0.00678278799717836,0.008891897936964871,24,0.0,1,1
7,349,349.0,40.79181061410928,-73.94389258547608,0.014649093351242445,0.75,0.00678278799717836,0.008891897936964871,23,0.0,1,1
8,346,346.0,40.69464231098107,-73.9903123087008,0.014523169912693083,0.75,0.00678278799717836,0.008891897936964871,10,0.0,1,1
9,341,341.0,40.86461650805717,-73.88972537988687,0.014313297515110813,0.75,0.00678278799717836,0.008891897936964871,7,161.6,1,1
10,334,334.0,40.812448125004096,-73.9526188214235,0.014019476158495634,0.75,0.00678278799717836,0.008891897936964871,4,101.9,1,1
11,334,334.0,40.836711134538305,-73.9240363632889,0.014019476158495634,0.75,0.00678278799717836,0.008891897936964871,14,68.4,1,1
12,328,328.0,40.84376680129907,-73.88351491281807,0.013767629281396911,0.75,0.00678278799717836,0.008891897936964871,7,219.8,1,1
13,328,328.0,40.88278350178068,-73.8630654141429,0.013767629281396911,0.75,0.00678278799717836,0.008891897936964871,12,106.4,1,1
14,305,305.0,40.81939022762444,-73.92532803861734,0.01280221625251847,0.75,0.00678278799717836,0.008891897936964871,21,164.7,1,1
15,297,297.0,40.645907372619014,-73.95669229791639,0.012466420416386837,0.75,0.00678278799717836,0.008891897936964871,2,169.7,1,1
16,290,290.0,40.75156446523435,-73.998960240437,0.012172599059771659,0.75,0.00678278799717836,0.008891897936964871,18,181.9,1,1
17,289,289.0,40.70240611099527,-73.94186390945687,0.012130624580255205,0.75,0.00678278799717836,0.008891897936964871,16,7.6,1,1
18,287,287.0,40.67685453203215,-73.91686753819093,0.012046675621222297,0.75,0.00678278799717836,0.008891897936964871,24,210.3,1,1
19,285,285.0,40.716440130565445,-73.98514522742113,0.011962726662189388,0.75,0.00678278799717836,0.008891897936964871,20,263.2,1,1
20,256,256.0,40.75886307955852,-73.98967525427115,0.010745466756212223,0.75,0.00678278799717836,0.008891897936964871,18,0.0,1,1
21,253,253.0,40.814404245332184,-73.90856830942926,0.010619543317662862,0.75,0.00678278799717836,0.008891897936964871,21,105.0,1,1
22,246,246.0,40.86939121220024,-73.89879549225043,0.010325721961047684,0.75,0.00678278799717836,0.008891897936964871,3,189.7,1,1
23,242,242.0,40.82565518017367,-73.89260405134473,0.010157824042981867,0.75,0.00678278799717836,0.008891897936964871,21,241.0,1,1
24,240,240.0,40.79971253537102,-73.9658103333289,0.010073875083948958,0.75,0.00678278799717836,0.008891897936964871,4,211.5,1,1
25,236,236.0,40.81633944346726,-73.94092626789612,0.009905977165883144,0.75,0.00678278799717836,0.008891897936964871,4,215.4,1,1
26,228,228.0,40.71495048336277,-73.79223361830962,0.009570181329751511,0.75,0.00678278799717836,0.008891897936964871,5,370.4,1,1
27,225,225.0,40.65834437609154,-73.79440505498604,0.00944425789120215,0.75,0.00678278799717836,0.008891897936964871,5,388.0,1,1
28,223,223.0,40.750494909866546,-73.85135725025106,0.00936030893216924,0.75,0.00678278799717836,0.008891897936964871,1,353.2,1,1
29,218,218.0,40.76511835718409,-73.98484209984107,0.009150436534586972,0.75,0.00678278799717836,0.008891897936964871,18,90.5,1,1
30,218,218.0,40.63999473919785,-73.90023555275353,0.009150436534586972,0.75,0.00678278799717836,0.008891897936964871,24,419.6,1,1
31,217,217.0,40.576958945988395,-73.9911152881316,0.009108462055070517,0.75,0.00678278799717836,0.008891897936964871,9,317.6,1,1
32,213,213.0,40.70085170594743,-73.80974597742306,0.0089405641370047,0.75,0.00678278799717836,0.008891897936964871,5,138.2,1,1
33,211,211.0,40.69252111192363,-73.92555278351443,0.008856615177971794,0.75,0.00678278799717836,0.008891897936964871,16,223.8,1,1
34,209,209.0,40.829582775437075,-73.86602876799958,0.008772666218938885,0.75,0.00678278799717836,0.008891897936964871,17,318.0,1,1
35,208,208.0,40.64868812356477,-73.93389672596783,0.008730691739422432,0.75,0.00678278799717836,0.008891897936964871,2,197.7,1,1
36,208,208.0,40.8431649108642,-73.86016672507611,0.008730691739422432,0.75,0.00678278799717836,0.008891897936964871,17,192.4,1,1
37,208,208.0,40.60251162659905,-73.75425066145213,0.008730691739422432,0.75,0.00678278799717836,0.008891897936964871,11,88.7,1,1
38,203,203.0,40.64077225876275,-74.01815637377871,0.008520819341840161,0.75,0.00678278799717836,0.008891897936964871,19,88.0,1,1
39,200,200.0,40.68141528070829,-73.9467295192618,0.0083948959032908,0.75,0.00678278799717836,0.008891897936964871,16,364.9,1,1
40,199,199.0,40.87925272683152,-73.9078829289896,0.008352921423774345,0.75,0.00678278799717836,0.008891897936964871,3,98.3,1,1
41,199,199.0,40.80542361982092,-73.91600164341598,0.008352921423774345,0.75,0.00678278799717836,0.008891897936964871,21,199.3,1,1
42,196,196.0,40.58434612826166,-73.94889917083387,0.008226997985224983,0.75,0.00678278799717836,0.008891897936964871,9,210.7,1,1
43,195,195.0,40.74374198373285,-74.00056296911586,0.008185023505708528,0.75,0.00678278799717836,0.008891897936964871,20,246.1,1,1
44,194,194.0,40.745855964057014,-73.94066377679383,0.008143049026192076,0.75,0.00678278799717836,0.008891897936964871,6,0.0,1,1
45,189,189.0,40.89219349480132,-73.8469656307355,0.007933176628609805,0.75,0.00678278799717836,0.008891897936964871,12,143.4,1,1
46,189,189.0,40.67148200907036,-73.93643090377888,0.007933176628609805,0.75,0.00678278799717836,0.008891897936964871,24,286.9,1,1
47,189,189.0,40.726802221346986,-73.9787312857601,0.007933176628609805,0.75,0.00678278799717836,0.008891897936964871,20,157.7,1,1
48,187,187.0,40.73119810373629,-73.99107143819182,0.007849227669576898,0.75,0.00678278799717836,0.008891897936964871,20,0.0,1,1
49,186,186.0,40.62485147417277,-74.09615973769871,0.007807253190060443,0.75,0.00678278799717836,0.008891897936964871,15,557.2,0,1
50,186,186.0,40.83976482326059,-73.94173123284911,0.007807253190060443,0.75,0.00678278799717836,0.008891897936964871,14,317.6,1,1
51,180,180.0,40.87003588077933,-73.84751155607768,0.00755540631296172,0.75,0.00678278799717836,0.008891897936964871,12,367.3,1,1
52,178,178.0,40.81651264038573,-73.86036674953414,0.0074714573539288115,0.75,0.00678278799717836,0.008891897936964871,17,482.9,0,1
53,176,176.0,40.6984645717949,-73.88963538113958,0.007387508394895903,0.75,0.00678278799717836,0.008891897936964871,8,357.9,1,1
54,176,176.0,40.84574656747069,-73.83917046952729,0.007387508394895903,0.75,0.00678278799717836,0.008891897936964871,17,155.4,1,1
55,176,176.0,40.744987329184966,-73.97871230550359,0.007387508394895903,0.75,0.00678278799717836,0.008891897936964871,20,207.7,1,1
56,172,172.0,40.75203495383239,-73.88359732782362,0.007219610476830087,0.75,0.00678278799717836,0.008891897936964871,1,101.2,1,1
57,171,171.0,40.852210788283074,-73.93535853956145,0.0071776359973136335,0.75,0.00678278799717836,0.008891897936964871,14,333.9,1,1
58,170,170.0,40.58390802101884,-73.92225171655224,0.007135661517797179,0.75,0.00678278799717836,0.008891897936964871,9,273.1,1,1
59,162,162.0,40.73865807469939,-73.87826689039156,0.006799865681665547,0.75,0.00678278799717836,0.008891897936964871,1,173.5,1,1
60,161,161.0,40.71146917914613,-73.95736696909172,0.006757891202149094,0.75,0.00678278799717836,0.008891897936964871,16,218.1,1,1
61,159,159.0,40.59585280076783,-74.16156486402443,0.006673942243116186,0.75,0.00678278799717836,0.008891897936964871,15,363.3,1,1
62,148,148.0,40.62576354335876,-73.94439549249944,0.006212222968435191,0.75,0.00678278799717836,0.008891897936964871,2,341.7,1,1
63,148,148.0,40.68141485303249,-73.98005709840152,0.006212222968435191,0.75,0.00678278799717836,0.008891897936964871,10,272.8,1,1
64,146,146.0,40.80222251551382,-73.95209841200831,0.006128274009402283,0.75,0.00678278799717836,0.008891897936964871,4,65.8,1,1
65,145,145.0,40.76659381032573,-73.82355151578537,0.0060862995298858295,0.75,0.00678278799717836,0.008891897936964871,13,296.4,1,1
66,143,143.0,40.697581051726765,-73.78664900498536,0.006002350570852921,0.75,0.00678278799717836,0.008891897936964871,5,380.4,1,1
67,142,142.0,40.601872575760666,-73.94655035831178,0.005960376091336468,0.75,0.00678278799717836,0.008891897936964871,9,350.6,1,1
68,141,141.0,40.59841924364046,-73.99625356427286,0.005918401611820013,0.75,0.00678278799717836,0.008891897936964871,9,264.8,1,1
69,137,137.0,40.77574453876112,-73.98280187353322,0.005750503693754198,0.75,0.00678278799717836,0.008891897936964871,18,239.2,1,1
70,137,137.0,40.70324324811322,-73.92109776997643,0.005750503693754198,0.75,0.00678278799717836,0.008891897936964871,16,244.2,1,1
71,135,135.0,40.75589045915963,-73.9934711377961,0.00566655473472129,0.75,0.00678278799717836,0.008891897936964871,18,94.6,1,1
72,134,134.0,40.663270614831106,-73.95060087631475,0.005624580255204835,0.75,0.00678278799717836,0.008891897936964871,2,166.5,1,1
73,133,133.0,40.72056549959967,-74.00486522947534,0.005582605775688382,0.75,0.00678278799717836,0.008891897936964871,20,275.6,1,1
74,133,133.0,40.62235786354158,-73.96565043616631,0.005582605775688382,0.75,0.00678278799717836,0.008891897936964871,9,478.6,1,1
75,131,131.0,40.75271509091915,-73.97330788047502,0.0054986568166554735,0.75,0.00678278799717836,0.008891897936964871,18,198.3,1,1
76,131,131.0,40.62085954469528,-74.03158989424534,0.0054986568166554735,0.75,0.00678278799717836,0.008891897936964871,19,325.3,1,1
77,130,130.0,40.676599419919825,-73.9639299865633,0.00545668233713902,0.75,0.00678278799717836,0.008891897936964871,2,345.3,1,1
78,128,128.0,40.798521814731416,-73.9750083860416,0.005372733378106112,0.75,0.00678278799717836,0.008891897936964871,4,345.3,1,1
79,127,127.0,40.82610477573791,-73.94937719284397,0.005330758898589657,0.75,0.00678278799717836,0.008891897936964871,4,285.1,1,1
80,122,122.0,40.723236905523414,-73.84616479796946,0.005120886501007387,0.75,0.00678278799717836,0.008891897936964871,5,393.3,1,1
81,122,122.0,40.662056992233616,-73.98583243620013,0.005120886501007387,0.75,0.00678278799717836,0.008891897936964871,2,379.6,1,1
82,119,119.0,40.75810645685221,-73.9682197312134,0.0049949630624580256,0.75,0.00678278799717836,0.008891897936964871,18,241.0,1,1
83,117,117.0,40.596569205923075,-73.9725315057552,0.004911014103425117,0.75,0.00678278799717836,0.008891897936964871,9,213.3,1,1
84,116,116.0,40.644381607573926,-73.97730502780846,0.004869039623908664,0.75,0.00678278799717836,0.008891897936964871,2,235.7,1,1
85,115,115.0,40.67478503304001,-73.81929828148104,0.004827065144392209,0.75,0.00678278799717836,0.008891897936964871,5,341.3,1,1
86,114,114.0,40.79186840881026,-73.88333172885717,0.004785090664875756,0.75,0.00678278799717836,0.008891897936964871,1,723.8,0,1
87,113,113.0,40.83219211858839,-73.93754023616486,0.004743116185359301,0.75,0.00678278799717836,0.008891897936964871,14,212.5,1,1
88,112,112.0,40.688479402536366,-73.8223922071776,0.0047011417058428475,0.75,0.00678278799717836,0.008891897936964871,5,259.0,1,1
89,112,112.0,40.75082323785512,-73.82074210024575,0.0047011417058428475,0.75,0.00678278799717836,0.008891897936964871,13,130.0,1,1
90,110,110.0,40.74808635659125,-73.90536545614626,0.004617192746809939,0.75,0.00678278799717836,0.008891897936964871,1,199.1,1,1
91,109,109.0,40.73886013787706,-73.98225252995272,0.004575218267293486,0.75,0.00678278799717836,0.008891897936964871,20,131.4,1,1
92,108,108.0,40.696519702454395,-73.96636995753218,0.004533243787777031,0.75,0.00678278799717836,0.008891897936964871,16,257.9,1,1
93,106,106.0,40.62100995619608,-73.98593371737667,0.004449294828744123,0.75,0.00678278799717836,0.008891897936964871,19,506.7,0,1
94,106,106.0,40.78040394504142,-73.9503467842834,0.004449294828744123,0.75,0.00678278799717836,0.008891897936964871,23,175.9,1,1
95,103,103.0,40.8681311789857,-73.82633906605989,0.004323371390194761,0.75,0.00678278799717836,0.008891897936964871,17,427.8,1,1
96,101,101.0,40.8265294504822,-73.82747828284283,0.004239422431161853,0.75,0.00678278799717836,0.008891897936964871,17,383.2,1,1
97,97,97.0,40.86372419744462,-73.92064105831952,0.004071524513096038,0.75,0.00678278799717836,0.008891897936964871,3,154.1,1,1
98,97,97.0,40.60780803745915,-74.08841900067937,0.004071524513096038,0.75,0.00678278799717836,0.008891897936964871,15,406.1,1,1
99,95,95.0,40.574866847218075,-74.12491175116226,0.00398757555406313,0.75,0.00678278799717836,0.008891897936964871,15,396.0,1,1
100,90,90.0,40.72594239486469,-73.99790654151013,0.00377770315648086,0.75,0.00678278799717836,0.008891897936964871,20,122.4,1,1
101,89,89.0,40.76490651143409,-73.96385704134997,0.0037357286769644058,0.75,0.00678278799717836,0.008891897936964871,18,314.4,1,1
102,87,87.0,40.65719107451709,-74.00628599086636,0.0036517797179314976,0.75,0.00678278799717836,0.008891897936964871,19,210.4,1,1
103,85,85.0,40.761324698115786,-73.93136497080326,0.0035678307588985895,0.75,0.00678278799717836,0.008891897936964871,6,260.4,1,1
104,85,85.0,40.733550515782966,-74.00518166140297,0.0035678307588985895,0.75,0.00678278799717836,0.008891897936964871,20,213.0,1,1
105,82,82.0,40.728491330759866,-73.94780900902853,0.0034419073203492277,0.75,0.00678278799717836,0.008891897936964871,6,380.3,1,1
106,81,81.0,40.77595833166471,-73.95249122141689,0.0033999328408327737,0.75,0.00678278799717836,0.008891897936964871,23,230.4,1,1
107,81,81.0,40.54403484180625,-74.18051371797456,0.0033999328408327737,0.75,0.00678278799717836,0.008891897936964871,15,757.0,0,1
108,80,80.0,40.70862035185762,-74.00311174160358,0.0033579583613163196,0.75,0.00678278799717836,0.008891897936964871,10,300.2,1,1
109,80,80.0,40.8117719732324,-73.88507140514197,0.0033579583613163196,0.75,0.00678278799717836,0.008891897936964871,21,338.3,1,1
110,80,80.0,40.70053174305656,-73.83350681794644,0.0033579583613163196,0.75,0.00678278799717836,0.008891897936964871,5,186.7,1,1
111,80,80.0,40.63343197458116,-73.99536675242251,0.0033579583613163196,0.75,0.00678278799717836,0.008891897936964871,19,364.8,1,1
112,79,79.0,40.77103272571251,-73.87241597334116,0.0033159838817998655,0.75,0.00678278799717836,0.008891897936964871,1,372.8,1,1
113,78,78.0,40.597042152783104,-74.0718010176402,0.0032740094022834115,0.75,0.00678278799717836,0.008891897936964871,15,562.0,0,1
114,77,77.0,40.859099166953456,-73.93154262697482,0.003232034922766958,0.75,0.00678278799717836,0.008891897936964871,3,248.4,1,1
115,76,76.0,40.77323192139633,-73.92721801488196,0.0031900604432505038,0.75,0.00678278799717836,0.008891897936964871,6,364.2,1,1
116,73,73.0,40.61649598267769,-74.01301381826485,0.0030641370047011416,0.75,0.00678278799717836,0.008891897936964871,19,352.4,1,1
117,72,72.0,40.66757911387556,-73.7525149800106,0.0030221625251846875,0.75,0.00678278799717836,0.008891897936964871,5,578.8,0,1
118,72,72.0,40.646687328004695,-73.88205993731032,0.0030221625251846875,0.75,0.00678278799717836,0.008891897936964871,22,316.4,1,1
119,71,71.0,40.676047998092066,-73.84865647201624,0.002980188045668234,0.75,0.00678278799717836,0.008891897936964871,22,283.0,1,1
120,70,70.0,40.62858228061272,-74.16545975714129,0.00293821356615178,0.75,0.00678278799717836,0.008891897936964871,15,500.6,0,1
121,69,69.0,40.69744567408972,-73.75886120921066,0.0028962390866353258,0.75,0.00678278799717836,0.008891897936964871,5,656.9,0,1
122,68,68.0,40.71123651030106,-73.74045780501373,0.0028542646071188717,0.75,0.00678278799717836,0.008891897936964871,13,710.1,0,1
123,68,68.0,40.67615722541801,-74.00604476588369,0.0028542646071188717,0.75,0.00678278799717836,0.008891897936964871,10,340.5,1,1
124,66,66.0,40.73074436415615,-73.74722857769328,0.0027703156480859636,0.75,0.00678278799717836,0.008891897936964871,13,598.7,0,1
